id;title;description;from_date;to_date;reward_points;item_qty;item_sku;grand_total;image;image_content_type
1;manufacturer especially viciously;up;2024-08-19T00:17:10;2024-08-19T05:53:34;31778;12930;phooey opposite;28906.16;../fake-data/blob/hipster.png;image/png
2;handicap indeed;vaguely shakily behind;2024-08-18T21:07:23;2024-08-18T14:14:51;23464;29281;brightly accidentally;4610.18;../fake-data/blob/hipster.png;image/png
3;however cheerful but;hallmark;2024-08-18T15:58:04;2024-08-19T05:52:11;28749;23371;yahoo yum;23075.3;../fake-data/blob/hipster.png;image/png
4;pish after mastication;quick offensively skinny;2024-08-18T22:29:49;2024-08-19T05:06:07;9320;24771;exhaust properly peacock;12453.37;../fake-data/blob/hipster.png;image/png
5;brunch;rudely;2024-08-18T23:23:24;2024-08-18T22:31:54;14117;17573;than dimly;24678.89;../fake-data/blob/hipster.png;image/png
6;above;above trout;2024-08-18T20:30:35;2024-08-19T00:08:42;28756;23950;unaccountably gall-bladder furthermore;976.66;../fake-data/blob/hipster.png;image/png
7;lest glamorous ew;finally queasily lovingly;2024-08-19T02:14:56;2024-08-18T21:18:32;21754;22627;nor;31227.87;../fake-data/blob/hipster.png;image/png
8;naive;excepting whether jagged;2024-08-18T23:47:52;2024-08-19T00:56:00;20969;15554;absent mid often;15770.95;../fake-data/blob/hipster.png;image/png
9;past;lively tackle that;2024-08-18T19:45:52;2024-08-19T07:08:18;15403;1203;via mmm;27459.22;../fake-data/blob/hipster.png;image/png
10;boohoo hollow girdle;under yowza;2024-08-18T18:47:13;2024-08-19T00:39:35;3614;19373;variable approach;1802.61;../fake-data/blob/hipster.png;image/png
