id;title;description;balance_value;converted_value;days_to_expire
1;PHONETOPUP;tan pace generous;32183;13064.21;26806
2;DISCOUNT;mobilise after;18880;31396.54;12491
3;DISCOUNT;unexpectedly;11088;4759.74;7119
4;PHONETOPUP;during bear;4908;10004.09;16318
5;DISCOUNT;portfolio jinx geez;11496;8696.75;4790
6;DISCOUNT;zowie whenever;19234;1187.29;13939
7;PHONETOPUP;phooey obediently;4665;19180.47;21949
8;DISCOUNT;unto;23983;21829.84;30512
9;DONATION;boxspring;7386;3757.23;22193
10;DISCOUNT;safely;17900;24547.46;1361
